Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,6894.716797,6923.672852,6870.911133,6873.404785,6873.404785,144215700
2023-02-22,6873.263184,6875.390137,6781.229004,6809.967773,6809.967773,149215500
2023-02-23,6810.108887,6839.454102,6806.997070,6839.454102,6839.454102,124488600
2023-02-24,6839.454102,6880.312012,6839.454102,6856.576172,6856.576172,130300200
2023-02-27,6856.576172,6871.111816,6819.872070,6854.776855,6854.776855,127631500
2023-02-28,6854.776855,6890.354004,6843.238770,6843.238770,6843.238770,167931100
2023-03-01,6843.098145,6889.514160,6833.188965,6844.936035,6844.936035,146293200
2023-03-02,6845.078125,6875.098145,6841.861816,6857.415039,6857.415039,136086000
2023-03-03,6857.415039,6884.116211,6804.476074,6813.636230,6813.636230,118736600
2023-03-06,6813.918945,6856.568848,6801.189941,6807.000977,6807.000977,137055800
2023-03-07,6806.858887,6812.958984,6758.000977,6766.757813,6766.757813,140398600
2023-03-08,6766.757813,6776.370117,6728.190918,6776.370117,6776.370117,144130900
2023-03-09,6776.370117,6824.664063,6776.370117,6799.794922,6799.794922,113187000
2023-03-10,6799.794922,6799.794922,6741.410156,6765.301758,6765.301758,131746200
2023-03-13,6765.018066,6812.874023,6727.442871,6786.955078,6786.955078,141798000
2023-03-14,6786.671875,6786.671875,6635.375977,6641.813965,6641.813965,166605500
2023-03-15,6641.813965,6709.860840,6628.137207,6628.137207,6628.137207,139210500
2023-03-16,6628.137207,6630.768066,6542.791992,6565.728027,6565.728027,154420700
2023-03-17,6565.728027,6683.094238,6565.728027,6678.236816,6678.236816,455755600
2023-03-20,6678.236816,6678.236816,6587.688965,6612.490234,6612.490234,128905000
2023-03-21,6612.490234,6691.610840,6609.223145,6691.610840,6691.610840,145475100
2023-03-24,6694.017090,6776.904785,6692.166016,6762.253906,6762.253906,146575100
2023-03-27,6762.253906,6772.595215,6704.751953,6708.933105,6708.933105,135182600
2023-03-28,6708.933105,6764.654785,6708.933105,6760.328125,6760.328125,126113300
2023-03-29,6760.328125,6851.505859,6760.328125,6839.436035,6839.436035,143324900
2023-03-30,6839.436035,6868.632813,6803.092773,6808.951172,6808.951172,140466800
2023-03-31,6809.092773,6831.553223,6789.609863,6805.276855,6805.276855,139015200
2023-04-03,6805.276855,6849.357910,6805.126953,6827.174805,6827.174805,127453100
2023-04-04,6827.033203,6859.692871,6781.523926,6833.178223,6833.178223,131576400
2023-04-05,6833.178223,6867.336914,6816.430176,6819.674805,6819.674805,123965500
2023-04-06,6819.674805,6832.729980,6786.287109,6792.765137,6792.765137,172852900
2023-04-10,6792.765137,6799.494141,6735.192871,6771.234863,6771.234863,129368500
2023-04-11,6771.234863,6811.313965,6738.766113,6811.313965,6811.313965,161404500
2023-04-12,6811.455078,6833.744141,6775.284180,6798.963867,6798.963867,151427200
2023-04-13,6798.541016,6816.884766,6764.659180,6785.598145,6785.598145,161495800
2023-04-14,6785.879883,6838.071777,6785.700195,6818.574219,6818.574219,137035000
2023-04-17,6818.714844,6829.509766,6765.142090,6787.582031,6787.582031,94860100
2023-04-18,6787.582031,6839.758789,6784.172852,6821.807129,6821.807129,103660800
2023-04-26,6821.807129,6910.146973,6821.599121,6910.146973,6910.146973,120164300
2023-04-27,6910.848145,6971.910156,6877.649902,6945.477051,6945.477051,161595900
2023-04-28,6945.477051,6958.672852,6897.708984,6915.715820,6915.715820,130620700
2023-05-02,6915.715820,6920.335938,6814.344238,6863.301758,6863.301758,136480100
2023-05-03,6863.301758,6865.611816,6776.895996,6812.722168,6812.722168,121306900
2023-05-04,6812.722168,6846.124023,6780.086914,6844.026855,6844.026855,137517900
2023-05-05,6844.026855,6851.585938,6733.775879,6787.630859,6787.630859,148189400
2023-05-08,6787.491211,6798.321777,6756.661133,6769.630859,6769.630859,179625500
2023-05-09,6769.630859,6793.766113,6742.179199,6779.979980,6779.979980,172097200
2023-05-10,6780.400879,6820.123047,6775.192871,6811.904785,6811.904785,181480200
2023-05-11,6811.904785,6814.124023,6717.424805,6755.937988,6755.937988,162906200
2023-05-12,6755.937988,6755.937988,6704.565918,6707.763184,6707.763184,173779500
2023-05-15,6708.463867,6729.299805,6656.647949,6711.740234,6711.740234,142578400
2023-05-16,6711.740234,6729.074219,6659.073242,6676.563965,6676.563965,156372400
2023-05-17,6676.423828,6706.595215,6661.467773,6663.113770,6663.113770,180449300
2023-05-19,6663.113770,6715.030762,6662.749023,6700.561035,6700.561035,161565100
2023-05-22,6700.561035,6757.624023,6675.876953,6729.646973,6729.646973,167491100
2023-05-23,6729.646973,6772.646973,6727.067871,6736.684082,6736.684082,162216500
2023-05-24,6736.684082,6755.882813,6713.893066,6745.804199,6745.804199,137679300
2023-05-25,6745.804199,6749.712891,6702.529785,6704.230957,6704.230957,156986800
2023-05-26,6704.230957,6727.286133,6669.235840,6687.000977,6687.000977,181504900
2023-05-29,6687.280762,6708.367188,6617.236816,6681.102051,6681.102051,164801800
2023-05-30,6681.102051,6700.237793,6636.422852,6636.422852,6636.422852,173775000
2023-05-31,6636.422852,6657.649902,6562.955078,6633.261230,6633.261230,615071900
2023-06-05,6633.261230,6663.714844,6598.509766,6633.437012,6633.437012,152714500
2023-06-06,6633.437012,6677.567871,6602.003906,6618.922852,6618.922852,231838500
2023-06-07,6619.062988,6638.581055,6578.755859,6619.754883,6619.754883,162881000
2023-06-08,6619.754883,6666.330078,6598.419922,6666.330078,6666.330078,168616600
2023-06-09,6666.049805,6703.824219,6648.958984,6694.023926,6694.023926,182769600
2023-06-12,6694.583984,6722.373047,6670.521973,6722.373047,6722.373047,158712000
2023-06-13,6722.373047,6744.038086,6697.070801,6719.014160,6719.014160,176568000
2023-06-14,6718.874023,6744.644043,6672.855957,6699.716797,6699.716797,178279800
2023-06-15,6699.716797,6717.456055,6660.909180,6713.794922,6713.794922,151187300
2023-06-16,6713.515137,6726.456055,6669.335938,6698.546875,6698.546875,172061800
2023-06-19,6698.546875,6705.038086,6669.049805,6686.059082,6686.059082,161424500
2023-06-20,6686.059082,6692.440918,6626.148926,6660.455078,6660.455078,118276600
2023-06-21,6660.455078,6702.625000,6635.673828,6702.625000,6702.625000,120273100
2023-06-22,6702.765137,6717.976074,6652.261230,6652.261230,6652.261230,168533600
2023-06-23,6652.261230,6665.663086,6635.481934,6639.732910,6639.732910,113447100
2023-06-26,6639.732910,6674.060059,6622.184082,6664.667969,6664.667969,126037100
2023-06-27,6664.667969,6679.625977,6652.903809,6661.878906,6661.878906,142328900
2023-07-03,6661.735840,6696.715820,6660.824219,6696.715820,6696.715820,125551000
2023-07-04,6696.858887,6713.993164,6672.773926,6681.753906,6681.753906,146273000
2023-07-05,6681.753906,6719.056152,6676.934082,6718.977051,6718.977051,148911000
2023-07-06,6718.263184,6766.272949,6712.074219,6757.331055,6757.331055,179543000
2023-07-07,6757.047852,6757.047852,6711.223145,6716.458984,6716.458984,158332900
2023-07-10,6716.458984,6763.545898,6716.458984,6731.038086,6731.038086,123617000
2023-07-11,6731.180176,6796.923828,6730.629883,6796.923828,6796.923828,160428000
2023-07-12,6796.923828,6820.179199,6785.855957,6808.208984,6808.208984,161722800
2023-07-13,6808.351074,6835.737793,6783.741211,6810.212891,6810.212891,171443900
2023-07-14,6810.212891,6874.775879,6810.212891,6869.571777,6869.571777,160702800
2023-07-17,6869.712891,6931.271973,6867.144043,6867.144043,6867.144043,176805700
2023-07-18,6867.144043,6902.143066,6798.432129,6830.203125,6830.203125,150363000
2023-07-20,6830.061035,6874.892090,6827.999023,6864.188965,6864.188965,142032500
2023-07-21,6864.188965,6880.801758,6837.645996,6880.801758,6880.801758,131640100
2023-07-24,6880.801758,6929.684082,6877.948242,6899.395996,6899.395996,150084400
2023-07-25,6897.978027,6944.620117,6897.978027,6917.710938,6917.710938,150504400
2023-07-26,6917.710938,6955.975098,6917.407227,6948.278809,6948.278809,149683800
2023-07-27,6948.278809,6966.166992,6896.663086,6896.663086,6896.663086,158624100
2023-07-28,6896.805176,6904.104980,6857.368164,6900.229980,6900.229980,146686100
2023-07-31,6900.229980,6931.358887,6895.073242,6931.358887,6931.358887,171457600
2023-08-01,6931.075195,6934.387207,6880.466797,6886.496094,6886.496094,196062700
2023-08-02,6886.496094,6886.496094,6833.979980,6854.509766,6854.509766,183858400
2023-08-03,6854.509766,6924.053223,6839.743164,6898.077148,6898.077148,163613400
2023-08-04,6898.219238,6925.014160,6850.899902,6852.841797,6852.841797,118791000
2023-08-07,6852.841797,6904.355957,6852.841797,6886.366211,6886.366211,134540800
2023-08-08,6886.506836,6915.050781,6861.634766,6868.812988,6868.812988,170357400
2023-08-09,6868.812988,6901.060059,6863.083984,6875.111816,6875.111816,218491200
2023-08-10,6875.111816,6910.754883,6875.111816,6893.275879,6893.275879,162734000
2023-08-11,6893.275879,6906.645020,6865.111816,6879.979004,6879.979004,130736700
2023-08-14,6879.979004,6910.171875,6823.753906,6910.171875,6910.171875,138804900
2023-08-15,6910.455078,6928.629883,6898.381836,6915.101074,6915.101074,172760000
2023-08-16,6915.101074,6915.101074,6855.888184,6900.538086,6900.538086,152291200
2023-08-18,6899.830078,6899.830078,6856.378906,6859.912109,6859.912109,130737900
2023-08-21,6860.053223,6890.275879,6859.422852,6866.033203,6866.033203,207708300
2023-08-22,6866.033203,6927.448242,6860.688965,6916.450195,6916.450195,158573900
2023-08-23,6916.450195,6959.432129,6916.450195,6921.410156,6921.410156,170674700
2023-08-24,6921.410156,6937.648926,6898.388184,6899.392090,6899.392090,142846200
2023-08-25,6899.392090,6906.083984,6869.632813,6895.442871,6895.442871,129994800
2023-08-28,6895.868164,6940.121094,6895.868164,6921.727051,6921.727051,185488900
2023-08-29,6921.727051,6964.733887,6921.727051,6957.834961,6957.834961,244345800
2023-08-30,6958.259766,7008.486816,6958.259766,6966.655762,6966.655762,159326300
2023-08-31,6966.655762,6982.345215,6924.225098,6953.259766,6953.259766,233127700
